rating_phase1,videoID,emotionName,durationBlackScreen_phase1,rating_phase2,durationBlackScreen_phase2,average_rating,variance_rating,subject_id
6.94,1174,disgust,2600,6.94,900,6.94,0.0,vTreiIt2JuefuP24EEhz5QRXwyq2
2.67,1028,romance,2600,1.18,900,1.9249999999999998,1.053589103967956,vTreiIt2JuefuP24EEhz5QRXwyq2
2.91,0513,disgust,900,1.81,2600,2.3600000000000003,0.7778174593052023,vTreiIt2JuefuP24EEhz5QRXwyq2
6.6,1169,sadness,900,7.0,2600,6.8,0.2828427124746193,vTreiIt2JuefuP24EEhz5QRXwyq2
6.38,1661,joy,900,4.86,2600,5.62,1.074802307403552,vTreiIt2JuefuP24EEhz5QRXwyq2
1.0,0271,anxiety,900,1.48,2600,1.24,0.33941125496954283,vTreiIt2JuefuP24EEhz5QRXwyq2
6.02,1086,romance,2600,4.95,900,5.484999999999999,0.7566042558696054,vTreiIt2JuefuP24EEhz5QRXwyq2
2.48,1743,joy,2600,1.81,900,2.145,0.4737615433949868,vTreiIt2JuefuP24EEhz5QRXwyq2
2.74,1402,anxiety,900,3.49,2600,3.115,0.5303300858899106,vTreiIt2JuefuP24EEhz5QRXwyq2
6.56,1101,sadness,900,6.41,2600,6.484999999999999,0.10606601717798175,vTreiIt2JuefuP24EEhz5QRXwyq2
2.74,0115,anxiety,900,2.83,2600,2.785,0.06363961030678918,vTreiIt2JuefuP24EEhz5QRXwyq2
6.17,1658,romance,2600,6.77,900,6.47,0.4242640687119283,vTreiIt2JuefuP24EEhz5QRXwyq2
6.55,0079,disgust,900,6.9,2600,6.725,0.247487373415292,vTreiIt2JuefuP24EEhz5QRXwyq2
3.26,1167,sadness,2600,2.79,900,3.025,0.33234018715767716,vTreiIt2JuefuP24EEhz5QRXwyq2
3.12,0774,sadness,900,4.84,2600,3.98,1.2162236636408617,vTreiIt2JuefuP24EEhz5QRXwyq2
1.04,0566,disgust,900,1.16,2600,1.1,0.08485281374238562,vTreiIt2JuefuP24EEhz5QRXwyq2
6.05,0648,anxiety,2600,3.68,900,4.865,1.6758430714121173,vTreiIt2JuefuP24EEhz5QRXwyq2
,0460,anxiety,2600,6.41,900,6.41,,vTreiIt2JuefuP24EEhz5QRXwyq2
5.7,1012,joy,2600,5.91,900,5.805,0.14849242404917495,vTreiIt2JuefuP24EEhz5QRXwyq2
6.47,0744,anxiety,2600,5.89,900,6.18,0.4101219330881976,vTreiIt2JuefuP24EEhz5QRXwyq2
5.61,1378,romance,2600,5.51,900,5.5600000000000005,0.07071067811865513,vTreiIt2JuefuP24EEhz5QRXwyq2
5.91,0282,disgust,900,5.18,2600,5.545,0.51618795026618,vTreiIt2JuefuP24EEhz5QRXwyq2
2.67,1171,joy,900,1.52,2600,2.0949999999999998,0.8131727983645296,vTreiIt2JuefuP24EEhz5QRXwyq2
2.87,0452,joy,900,1.21,2600,2.04,1.1737972567696688,vTreiIt2JuefuP24EEhz5QRXwyq2
2.66,0891,sadness,900,3.23,2600,2.9450000000000003,0.40305086527633194,vTreiIt2JuefuP24EEhz5QRXwyq2
6.1,1850,joy,2600,3.47,900,4.785,1.8596908345206196,vTreiIt2JuefuP24EEhz5QRXwyq2
